vinevar,age,unit,geo\time	2020 	2015 
VIM_TOT,TOTAL,HA,AT	41291 	41129 
VIM_TOT,TOTAL,HA,AT11	10549 	10987 
VIM_TOT,TOTAL,HA,AT12	26393 	26281 
VIM_TOT,TOTAL,HA,AT13	585 	519 
VIM_TOT,TOTAL,HA,AT21	97 	60 
VIM_TOT,TOTAL,HA,AT22	3588 	3231 
VIM_TOT,TOTAL,HA,AT31	56 	32 
VIM_TOT,TOTAL,HA,AT32	6 	6 
VIM_TOT,TOTAL,HA,AT33	5 	4 
VIM_TOT,TOTAL,HA,AT34	11 	8 
VIM_TOT,TOTAL,HA,BG	53698 	54322 
VIM_TOT,TOTAL,HA,BG31	4064 	4364 
VIM_TOT,TOTAL,HA,BG32	4382 	4443 
VIM_TOT,TOTAL,HA,BG33	6232 	7076 
VIM_TOT,TOTAL,HA,BG34	19660 	18992 
VIM_TOT,TOTAL,HA,BG41	2666 	2650 
VIM_TOT,TOTAL,HA,BG42	16694 	16798 
VIM_TOT,TOTAL,HA,CY	5135 	5313 
VIM_TOT,TOTAL,HA,CZ	14740 	14273 
VIM_TOT,TOTAL,HA,CZ01	13 	10 
VIM_TOT,TOTAL,HA,CZ02	254 	254 
VIM_TOT,TOTAL,HA,CZ03	: c	1 
VIM_TOT,TOTAL,HA,CZ04	272 	275 
VIM_TOT,TOTAL,HA,CZ05	0 	0 
VIM_TOT,TOTAL,HA,CZ06	13839 	13451 
VIM_TOT,TOTAL,HA,CZ07	362 	282 
VIM_TOT,TOTAL,HA,CZ08	: c	: c
VIM_TOT,TOTAL,HA,DE	95482 	96652 
VIM_TOT,TOTAL,HA,DE11	10639 	10859 
VIM_TOT,TOTAL,HA,DE12	2489 	2530 
VIM_TOT,TOTAL,HA,DE13	11772 	11837 
VIM_TOT,TOTAL,HA,DE14	599 	536 
VIM_TOT,TOTAL,HA,DE21	0 	: 
VIM_TOT,TOTAL,HA,DE23	4 	3 
VIM_TOT,TOTAL,HA,DE24	6 	5 
VIM_TOT,TOTAL,HA,DE25	275 	261 
VIM_TOT,TOTAL,HA,DE26	5280 	5240 
VIM_TOT,TOTAL,HA,DE27	53 	41 
VIM_TOT,TOTAL,HA,DE40	16 	14 
VIM_TOT,TOTAL,HA,DE71	3520 	3509 
VIM_TOT,TOTAL,HA,DE73	0 	0 
VIM_TOT,TOTAL,HA,DE80	2 	2 
VIM_TOT,TOTAL,HA,DE91	1 	: 
VIM_TOT,TOTAL,HA,DE92	: c	: 
VIM_TOT,TOTAL,HA,DE93	1 	: 
VIM_TOT,TOTAL,HA,DE94	: c	: 
VIM_TOT,TOTAL,HA,DEA2	18 	18 
VIM_TOT,TOTAL,HA,DEB1	6631 	6746 
VIM_TOT,TOTAL,HA,DEB2	6628 	7111 
VIM_TOT,TOTAL,HA,DEB3	46340 	46723 
VIM_TOT,TOTAL,HA,DEC0	87 	98 
VIM_TOT,TOTAL,HA,DED2	258 	408 
VIM_TOT,TOTAL,HA,DED4	0 	: c
VIM_TOT,TOTAL,HA,DED5	128 	: c
VIM_TOT,TOTAL,HA,DEE0	644 	621 
VIM_TOT,TOTAL,HA,DEF0	2 	1 
VIM_TOT,TOTAL,HA,DEG0	87 	88 
VIM_TOT,TOTAL,HA,EL	52155 	52451 
VIM_TOT,TOTAL,HA,EL30	6151 	6018 
VIM_TOT,TOTAL,HA,EL41	2513 	2623 
VIM_TOT,TOTAL,HA,EL42	2635 	2677 
VIM_TOT,TOTAL,HA,EL43	6713 	6822 
VIM_TOT,TOTAL,HA,EL51	1867 	1786 
VIM_TOT,TOTAL,HA,EL52	3438 	3294 
VIM_TOT,TOTAL,HA,EL53	2158 	1980 
VIM_TOT,TOTAL,HA,EL54	194 	161 
VIM_TOT,TOTAL,HA,EL61	3709 	3523 
VIM_TOT,TOTAL,HA,EL62	181 	677 
VIM_TOT,TOTAL,HA,EL63	7526 	7550 
VIM_TOT,TOTAL,HA,EL64	6558 	6402 
VIM_TOT,TOTAL,HA,EL65	8514 	8939 
VIM_TOT,TOTAL,HA,ES	885230 	916101 
VIM_TOT,TOTAL,HA,ES11	18566 	23709 
VIM_TOT,TOTAL,HA,ES12	61 	: 
VIM_TOT,TOTAL,HA,ES13	74 	98 
VIM_TOT,TOTAL,HA,ES21	14650 	13892 
VIM_TOT,TOTAL,HA,ES22	17851 	18001 
VIM_TOT,TOTAL,HA,ES23	47451 	45039 
VIM_TOT,TOTAL,HA,ES24	34363 	34909 
VIM_TOT,TOTAL,HA,ES30	8526 	11159 
VIM_TOT,TOTAL,HA,ES41	78519 	73631 
VIM_TOT,TOTAL,HA,ES42	420650 	427886 
VIM_TOT,TOTAL,HA,ES43	76254 	86674 
VIM_TOT,TOTAL,HA,ES51	57044 	54580 
VIM_TOT,TOTAL,HA,ES52	57562 	59615 
VIM_TOT,TOTAL,HA,ES53	: 	1877 
VIM_TOT,TOTAL,HA,ES61	26504 	29910 
VIM_TOT,TOTAL,HA,ES62	23054 	24410 
VIM_TOT,TOTAL,HA,ES70	4099 	10712 
VIM_TOT,TOTAL,HA,EU	2907787 	3049304 d
VIM_TOT,TOTAL,HA,EU27_2020	2907787 	3049304 d
VIM_TOT,TOTAL,HA,EU28	: 	3049304 d
VIM_TOT,TOTAL,HA,FR	: 	776658 
VIM_TOT,TOTAL,HA,FR10	: 	13 
VIM_TOT,TOTAL,HA,FR21	: 	25230 e
VIM_TOT,TOTAL,HA,FR22	: 	2242 
VIM_TOT,TOTAL,HA,FR24	: 	21547 
VIM_TOT,TOTAL,HA,FR25	: 	: c
